reaction	linear_coefficient
MAR07869	[np.float64(6.570980090049546e-05)]
MAR07870	[np.float64(6.570980090049546e-05)]
MAR07871	[np.float64(6.570980090049546e-05)]
MAR07872	[np.float64(6.570980090049546e-05)]
MAR07873	[np.float64(6.570980090049546e-05)]
MAR07874	[np.float64(6.570980090049546e-05)]
MAR07875	[0.004311175785818288]
MAR07876	[np.float64(6.570980090049546e-05)]
MAR07878	[np.float64(6.570980090049546e-05)]
MAR07879	[3.347915755634574e-05]
MAR07880	[np.float64(6.570980090049546e-05)]
MAR07881	[np.float64(6.570980090049546e-05)]
MAR07882	[np.float64(6.570980090049546e-05)]
MAR07883	[np.float64(6.570980090049546e-05)]
MAR07884	[np.float64(6.570980090049546e-05)]
MAR07885	[np.float64(6.570980090049546e-05)]
MAR07886	[np.float64(6.570980090049546e-05)]
MAR07887	[np.float64(6.570980090049546e-05)]
MAR07888	[np.float64(6.570980090049546e-05)]
MAR07889	[np.float64(6.570980090049546e-05)]
MAR07890	[np.float64(6.570980090049546e-05)]
MAR07891	[np.float64(6.570980090049546e-05)]
MAR07892	[np.float64(6.570980090049546e-05)]
MAR07893	[np.float64(6.570980090049546e-05)]
MAR07894	[np.float64(6.570980090049546e-05)]
MAR07895	[np.float64(6.570980090049546e-05)]
MAR08083	[np.float64(6.570980090049546e-05)]
MAR08085	[np.float64(6.570980090049546e-05)]
MAR08087	[np.float64(6.570980090049546e-05)]
MAR08443	[np.float64(6.570980090049546e-05)]
MAR08444	[np.float64(6.570980090049546e-05)]
MAR08445	[np.float64(6.570980090049546e-05)]
MAR08446	[0.009117273512233697]
MAR08448	[np.float64(6.570980090049546e-05)]
MAR08449	[np.float64(6.570980090049546e-05)]
MAR08450	[np.float64(6.570980090049546e-05)]
MAR08451	[np.float64(6.570980090049546e-05)]
MAR08452	[np.float64(6.570980090049546e-05)]
MAR08453	[np.float64(6.570980090049546e-05)]
MAR08454	[np.float64(6.570980090049546e-05)]
MAR08455	[np.float64(6.570980090049546e-05)]
MAR08456	[np.float64(6.570980090049546e-05)]
MAR08457	[np.float64(6.570980090049546e-05)]
MAR08458	[np.float64(6.570980090049546e-05)]
MAR08459	[np.float64(6.570980090049546e-05)]
MAR08460	[np.float64(6.570980090049546e-05)]
MAR08461	[0.009117273512233697]
MAR08462	[np.float64(6.570980090049546e-05)]
MAR08463	[np.float64(6.570980090049546e-05)]
MAR08464	[np.float64(6.570980090049546e-05)]
MAR08465	[np.float64(6.570980090049546e-05)]
MAR08466	[np.float64(6.570980090049546e-05)]
MAR08467	[np.float64(6.570980090049546e-05)]
MAR08468	[np.float64(6.570980090049546e-05)]
MAR08469	[np.float64(6.570980090049546e-05)]
MAR08470	[np.float64(6.570980090049546e-05)]
MAR08471	[np.float64(6.570980090049546e-05)]
MAR08472	[np.float64(6.570980090049546e-05)]
MAR08473	[np.float64(6.570980090049546e-05)]
MAR08474	[np.float64(6.570980090049546e-05)]
MAR08477	[np.float64(6.570980090049546e-05)]
MAR08478	[np.float64(6.570980090049546e-05)]
MAR08479	[np.float64(6.570980090049546e-05)]
MAR08480	[0.009117273512233697]
MAR08481	[7.735074205726712e-05]
MAR08482	[np.float64(6.570980090049546e-05)]
MAR08483	[np.float64(6.570980090049546e-05)]
MAR08484	[7.735074205726712e-05]
MAR08485	[np.float64(6.570980090049546e-05)]
MAR08486	[3.2777341171678e-05]
MAR08487	[np.float64(6.570980090049546e-05)]
MAR08488	[3.347915755634574e-05]
MAR08489	[3.347915755634574e-05]
MAR08493	[np.float64(6.570980090049546e-05)]
MAR08494	[np.float64(6.570980090049546e-05)]
MAR08495	[np.float64(6.570980090049546e-05)]
MAR03802	[2.940463164347288e-05]
MAR03804	[2.940463164347288e-05]
MAR03811	[np.float64(6.570980090049546e-05)]
MAR03813	[np.float64(6.570980090049546e-05)]
MAR03822	[np.float64(6.570980090049546e-05)]
MAR03827	[3.001434240478342e-05]
MAR03829	[np.float64(6.570980090049546e-05)]
MAR03862	[0.00494432420848434]
MAR03865	[3.001434240478342e-05]
MAR03870	[np.float64(6.570980090049546e-05)]
MAR03873	[0.006153692557047174]
MAR08654	[0.006153692557047174]
MAR03890	[np.float64(6.570980090049546e-05)]
MAR03892	[np.float64(6.570980090049546e-05)]
MAR09802	[0.004840015865748459]
MAR03899	[np.float64(6.570980090049546e-05)]
MAR03903	[0.003869435015824688]
MAR04109	[np.float64(6.570980090049546e-05)]
MAR04114	[np.float64(6.570980090049546e-05)]
MAR04115	[np.float64(6.570980090049546e-05)]
MAR04118	[np.float64(6.570980090049546e-05)]
MAR04172	[0.00494432420848434]
