reaction	linear_coefficient
MAR07895	[5.453322464414043e-05]
MAR08083	[np.float64(9.858754595081572e-05)]
MAR08085	[np.float64(9.858754595081572e-05)]
MAR08087	[np.float64(9.858754595081572e-05)]
MAR08443	[np.float64(9.858754595081572e-05)]
MAR08444	[np.float64(9.858754595081572e-05)]
MAR08445	[np.float64(9.858754595081572e-05)]
MAR08446	[0.00762995585464111]
MAR08448	[4.188352170862891e-05]
MAR08449	[4.188352170862891e-05]
MAR08450	[4.188352170862891e-05]
MAR08451	[4.188352170862891e-05]
MAR08452	[4.188352170862891e-05]
MAR08453	[4.188352170862891e-05]
MAR08454	[4.188352170862891e-05]
MAR08455	[4.188352170862891e-05]
MAR08456	[4.188352170862891e-05]
MAR08457	[4.188352170862891e-05]
MAR08458	[4.188352170862891e-05]
MAR08459	[4.188352170862891e-05]
MAR08460	[4.188352170862891e-05]
MAR08461	[np.float64(9.858754595081572e-05)]
MAR08462	[4.188352170862891e-05]
MAR08463	[4.188352170862891e-05]
MAR08464	[4.188352170862891e-05]
MAR08465	[4.188352170862891e-05]
MAR08466	[4.188352170862891e-05]
MAR08467	[4.188352170862891e-05]
MAR08468	[4.188352170862891e-05]
MAR08469	[4.188352170862891e-05]
MAR08470	[4.188352170862891e-05]
MAR08471	[4.188352170862891e-05]
MAR08472	[4.188352170862891e-05]
MAR08473	[np.float64(9.858754595081572e-05)]
MAR08474	[7.814251217446359e-05]
MAR08477	[np.float64(9.858754595081572e-05)]
MAR08478	[np.float64(9.858754595081572e-05)]
MAR08479	[np.float64(9.858754595081572e-05)]
MAR08480	[0.00762995585464111]
MAR08481	[np.float64(9.858754595081572e-05)]
MAR08482	[np.float64(9.858754595081572e-05)]
MAR08483	[np.float64(9.858754595081572e-05)]
MAR08484	[np.float64(9.858754595081572e-05)]
MAR08485	[7.814251217446359e-05]
MAR08486	[np.float64(9.858754595081572e-05)]
MAR08487	[3.728206335263105e-05]
MAR08488	[np.float64(9.858754595081572e-05)]
MAR08489	[np.float64(9.858754595081572e-05)]
MAR08493	[np.float64(9.858754595081572e-05)]
MAR08494	[np.float64(9.858754595081572e-05)]
MAR08495	[np.float64(9.858754595081572e-05)]
MAR03802	[5.1849070780614454e-05]
MAR03804	[5.1849070780614454e-05]
MAR03811	[np.float64(9.858754595081572e-05)]
MAR03813	[np.float64(9.858754595081572e-05)]
MAR03822	[np.float64(9.858754595081572e-05)]
MAR03827	[3.818211092224567e-05]
MAR03829	[np.float64(9.858754595081572e-05)]
MAR03862	[0.004779720285102033]
MAR03865	[3.818211092224567e-05]
MAR03870	[np.float64(9.858754595081572e-05)]
MAR03873	[0.005183721565527906]
MAR08654	[0.005183721565527906]
MAR03890	[np.float64(9.858754595081572e-05)]
MAR03892	[3.728206335263105e-05]
MAR09802	[0.006361782362284913]
MAR03899	[0.005183721565527906]
MAR03903	[0.006361782362284913]
MAR04109	[np.float64(9.858754595081572e-05)]
MAR04114	[np.float64(9.858754595081572e-05)]
MAR04115	[np.float64(9.858754595081572e-05)]
MAR04118	[np.float64(9.858754595081572e-05)]
MAR04172	[0.004779720285102033]
MAR04196	[np.float64(9.858754595081572e-05)]
MAR04197	[np.float64(9.858754595081572e-05)]
MAR04287	[3.728206335263105e-05]
MAR04690	[0.005938969176443775]
MAR04693	[0.005941052850017008]
MAR06780	[3.818211092224567e-05]
MAR06968	[np.float64(9.858754595081572e-05)]
MAR06969	[0.005183721565527906]
MAR06970	[0.005183721565527906]
MAR06971	[np.float64(9.858754595081572e-05)]
MAR06972	[np.float64(9.858754595081572e-05)]
MAR07641	[0.0062946839618430285]
MAR07642	[np.float64(9.858754595081572e-05)]
MAR08626	[0.0056322281675464415]
MAR08628	[0.005183721565527906]
MAR03806	[np.float64(9.858754595081572e-05)]
MAR03807	[3.80118259440596e-05]
MAR03809	[0.00762995585464111]
MAR03816	[0.0062946839618430285]
MAR03819	[np.float64(9.858754595081572e-05)]
MAR03820	[np.float64(9.858754595081572e-05)]
MAR03832	[np.float64(9.858754595081572e-05)]
MAR03833	[np.float64(9.858754595081572e-05)]
MAR03835	[np.float64(9.858754595081572e-05)]
MAR03837	[np.float64(9.858754595081572e-05)]
MAR03895	[np.float64(9.858754595081572e-05)]
MAR03897	[np.float64(9.858754595081572e-05)]
MAR03956	[np.float64(9.858754595081572e-05)]
MAR03993	[0.005183721565527906]
MAR04073	[8.837687463265571e-05]
MAR04075	[3.728206335263105e-05]
MAR04077	[3.728206335263105e-05]
MAR04190	[0.005183721565527906]
MAR04191	[np.float64(9.858754595081572e-05)]
MAR04212	[3.728206335263105e-05]
MAR04422	[3.728206335263105e-05]
MAR04423	[np.float64(9.858754595081572e-05)]
MAR04424	[np.float64(9.858754595081572e-05)]
MAR04583	[np.float64(9.858754595081572e-05)]
MAR04605	[np.float64(9.858754595081572e-05)]
MAR04606	[0.005490676629544486]
MAR04607	[np.float64(9.858754595081572e-05)]
MAR04776	[5.7841229114331034e-05]
MAR04777	[5.7841229114331034e-05]
MAR04778	[np.float64(9.858754595081572e-05)]
MAR04779	[np.float64(9.858754595081572e-05)]
MAR04780	[np.float64(9.858754595081572e-05)]
MAR04781	[np.float64(9.858754595081572e-05)]
MAR04784	[np.float64(9.858754595081572e-05)]
MAR04785	[np.float64(9.858754595081572e-05)]
MAR04786	[3.818211092224567e-05]
MAR04787	[0.005212195627334101]
MAR05384	[np.float64(9.858754595081572e-05)]
MAR06929	[3.728206335263105e-05]
MAR06930	[3.728206335263105e-05]
MAR06931	[np.float64(9.858754595081572e-05)]
MAR06932	[np.float64(9.858754595081572e-05)]
MAR06933	[np.float64(9.858754595081572e-05)]
MAR06934	[np.float64(9.858754595081572e-05)]
MAR06935	[np.float64(9.858754595081572e-05)]
MAR06936	[np.float64(9.858754595081572e-05)]
MAR06938	[3.728206335263105e-05]
MAR06939	[3.728206335263105e-05]
MAR06940	[np.float64(9.858754595081572e-05)]
MAR06941	[np.float64(9.858754595081572e-05)]
MAR06942	[np.float64(9.858754595081572e-05)]
MAR06943	[np.float64(9.858754595081572e-05)]
MAR06944	[np.float64(9.858754595081572e-05)]
MAR06945	[np.float64(9.858754595081572e-05)]
MAR06946	[np.float64(9.858754595081572e-05)]
MAR06947	[np.float64(9.858754595081572e-05)]
MAR06948	[np.float64(9.858754595081572e-05)]
MAR06949	[np.float64(9.858754595081572e-05)]
MAR06950	[np.float64(9.858754595081572e-05)]
MAR06951	[np.float64(9.858754595081572e-05)]
MAR06952	[np.float64(9.858754595081572e-05)]
MAR06953	[np.float64(9.858754595081572e-05)]
MAR06954	[np.float64(9.858754595081572e-05)]
MAR06955	[np.float64(9.858754595081572e-05)]
MAR06956	[np.float64(9.858754595081572e-05)]
MAR06957	[np.float64(9.858754595081572e-05)]
MAR06958	[np.float64(9.858754595081572e-05)]
MAR06959	[np.float64(9.858754595081572e-05)]
MAR06960	[np.float64(9.858754595081572e-05)]
MAR06961	[np.float64(9.858754595081572e-05)]
MAR06962	[np.float64(9.858754595081572e-05)]
MAR06963	[np.float64(9.858754595081572e-05)]
MAR06964	[np.float64(9.858754595081572e-05)]
MAR06965	[np.float64(9.858754595081572e-05)]
MAR06966	[np.float64(9.858754595081572e-05)]
MAR06967	[np.float64(9.858754595081572e-05)]
MAR06973	[np.float64(9.858754595081572e-05)]
MAR08096	[np.float64(9.858754595081572e-05)]
MAR08097	[np.float64(9.858754595081572e-05)]
MAR08098	[3.818211092224567e-05]
MAR08416	[np.float64(9.858754595081572e-05)]
MAR08425	[0.005938969176443775]
MAR08426	[np.float64(9.858754595081572e-05)]
MAR08427	[np.float64(9.858754595081572e-05)]
MAR08431	[np.float64(9.858754595081572e-05)]
MAR08432	[0.005183721565527906]
MAR08603	[3.728206335263105e-05]
MAR08604	[np.float64(9.858754595081572e-05)]
