reaction	linear_coefficient
MAR04485	[np.float64(0.00010544374154059859)]
MAR04510	[3.876376698494929e-05]
MAR04512	[4.222874442787584e-05]
MAR04513	[np.float64(0.00010544374154059859)]
MAR04514	[np.float64(0.00010544374154059859)]
MAR04577	[np.float64(0.00010544374154059859)]
MAR04579	[np.float64(0.00010544374154059859)]
MAR04580	[np.float64(0.00010544374154059859)]
MAR04608	[np.float64(0.00010544374154059859)]
MAR04575	[np.float64(0.00010544374154059859)]
MAR04637	[np.float64(0.00010544374154059859)]
MAR04642	[np.float64(0.00010544374154059859)]
MAR04643	[np.float64(0.00010544374154059859)]
MAR04644	[np.float64(0.00010544374154059859)]
MAR04672	[np.float64(0.00010544374154059859)]
MAR04676	[np.float64(0.00010544374154059859)]
MAR04736	[0.007948961701127563]
MAR04819	[0.007785651957133285]
MAR05299	[np.float64(0.00010544374154059859)]
MAR05352	[np.float64(0.00010544374154059859)]
MAR05415	[3.876376698494929e-05]
MAR05416	[3.876376698494929e-05]
MAR05417	[3.876376698494929e-05]
MAR06612	[np.float64(0.00010544374154059859)]
MAR06613	[np.float64(0.00010544374154059859)]
MAR06621	[3.876376698494929e-05]
MAR06622	[3.876376698494929e-05]
MAR06623	[np.float64(0.00010544374154059859)]
MAR06624	[np.float64(0.00010544374154059859)]
MAR06627	[3.876376698494929e-05]
MAR07744	[np.float64(0.00010544374154059859)]
MAR08072	[np.float64(0.00010544374154059859)]
MAR08637	[np.float64(0.00010544374154059859)]
MAR03965	[np.float64(0.00010544374154059859)]
MAR03966	[np.float64(0.00010544374154059859)]
MAR03967	[4.222874442787584e-05]
MAR03968	[np.float64(0.00010544374154059859)]
MAR03999	[0.005574581342277725]
MAR04024	[4.222874442787584e-05]
MAR04026	[0.005952368293540576]
MAR04054	[np.float64(0.00010544374154059859)]
MAR04061	[0.005574581342277725]
MAR04083	[np.float64(0.00010544374154059859)]
MAR04136	[3.876376698494929e-05]
MAR04180	[np.float64(0.00010544374154059859)]
MAR04185	[3.876376698494929e-05]
MAR04186	[3.876376698494929e-05]
MAR04342	[np.float64(0.00010544374154059859)]
MAR04344	[np.float64(0.00010544374154059859)]
MAR04483	[np.float64(0.00010544374154059859)]
MAR04507	[4.209844751252259e-05]
MAR04516	[np.float64(0.00010544374154059859)]
MAR04601	[np.float64(0.00010544374154059859)]
MAR04633	[np.float64(0.00010544374154059859)]
MAR04640	[np.float64(0.00010544374154059859)]
MAR04641	[np.float64(0.00010544374154059859)]
MAR04680	[np.float64(0.00010544374154059859)]
MAR04806	[np.float64(0.00010544374154059859)]
MAR05394	[np.float64(0.00010544374154059859)]
MAR06625	[np.float64(0.00010544374154059859)]
MAR06626	[np.float64(0.00010544374154059859)]
MAR07160	[np.float64(0.00010544374154059859)]
MAR07161	[3.876376698494929e-05]
MAR07162	[3.876376698494929e-05]
MAR07163	[np.float64(0.00010544374154059859)]
MAR07164	[np.float64(0.00010544374154059859)]
MAR07713	[3.876376698494929e-05]
MAR07716	[3.876376698494929e-05]
MAR07717	[3.876376698494929e-05]
MAR07721	[3.876376698494929e-05]
MAR07725	[3.876376698494929e-05]
MAR07728	[3.876376698494929e-05]
MAR07800	[np.float64(0.00010544374154059859)]
MAR07801	[np.float64(0.00010544374154059859)]
MAR07802	[np.float64(0.00010544374154059859)]
MAR07863	[4.222874442787584e-05]
MAR07864	[4.222874442787584e-05]
MAR07865	[4.222874442787584e-05]
MAR07866	[4.222874442787584e-05]
MAR07867	[4.222874442787584e-05]
MAR07868	[4.222874442787584e-05]
MAR07869	[4.222874442787584e-05]
MAR07870	[4.222874442787584e-05]
MAR07871	[4.222874442787584e-05]
MAR07872	[4.222874442787584e-05]
MAR07873	[4.222874442787584e-05]
MAR07874	[4.222874442787584e-05]
MAR07875	[0.005952368293540576]
MAR07876	[4.222874442787584e-05]
MAR07878	[np.float64(0.00010544374154059859)]
MAR07879	[np.float64(0.00010544374154059859)]
MAR07880	[np.float64(0.00010544374154059859)]
MAR07881	[np.float64(0.00010544374154059859)]
MAR07882	[np.float64(0.00010544374154059859)]
MAR07883	[np.float64(0.00010544374154059859)]
MAR07884	[np.float64(0.00010544374154059859)]
MAR07885	[np.float64(0.00010544374154059859)]
MAR07886	[np.float64(0.00010544374154059859)]
MAR07887	[np.float64(0.00010544374154059859)]
MAR07888	[np.float64(0.00010544374154059859)]
MAR07889	[np.float64(0.00010544374154059859)]
MAR07890	[np.float64(0.00010544374154059859)]
MAR07891	[np.float64(0.00010544374154059859)]
MAR07892	[np.float64(0.00010544374154059859)]
MAR07893	[np.float64(0.00010544374154059859)]
MAR07894	[np.float64(0.00010544374154059859)]
MAR07895	[np.float64(0.00010544374154059859)]
MAR08083	[np.float64(0.00010544374154059859)]
MAR08085	[np.float64(0.00010544374154059859)]
MAR08087	[np.float64(0.00010544374154059859)]
MAR08443	[np.float64(0.00010544374154059859)]
MAR08444	[np.float64(0.00010544374154059859)]
MAR08445	[np.float64(0.00010544374154059859)]
MAR08446	[0.007948961701127563]
MAR08448	[4.222874442787584e-05]
MAR08449	[4.222874442787584e-05]
MAR08450	[4.222874442787584e-05]
MAR08451	[4.222874442787584e-05]
MAR08452	[4.222874442787584e-05]
MAR08453	[4.222874442787584e-05]
MAR08454	[4.222874442787584e-05]
MAR08455	[4.222874442787584e-05]
MAR08456	[4.222874442787584e-05]
MAR08457	[4.222874442787584e-05]
MAR08458	[4.222874442787584e-05]
MAR08459	[4.222874442787584e-05]
MAR08460	[4.222874442787584e-05]
MAR08461	[np.float64(0.00010544374154059859)]
MAR08462	[4.222874442787584e-05]
MAR08463	[4.222874442787584e-05]
MAR08464	[4.222874442787584e-05]
MAR08465	[4.222874442787584e-05]
MAR08466	[4.222874442787584e-05]
MAR08467	[4.222874442787584e-05]
MAR08468	[4.222874442787584e-05]
MAR08469	[4.222874442787584e-05]
MAR08470	[4.222874442787584e-05]
MAR08471	[4.222874442787584e-05]
MAR08472	[4.222874442787584e-05]
MAR08473	[np.float64(0.00010544374154059859)]
MAR08474	[np.float64(0.00010544374154059859)]
MAR08477	[np.float64(0.00010544374154059859)]
MAR08478	[np.float64(0.00010544374154059859)]
MAR08479	[np.float64(0.00010544374154059859)]
MAR08480	[0.007948961701127563]
MAR08481	[np.float64(0.00010544374154059859)]
MAR08482	[np.float64(0.00010544374154059859)]
MAR08483	[np.float64(0.00010544374154059859)]
MAR08484	[np.float64(0.00010544374154059859)]
MAR08485	[np.float64(0.00010544374154059859)]
MAR08486	[np.float64(0.00010544374154059859)]
MAR08487	[3.876376698494929e-05]
MAR08488	[np.float64(0.00010544374154059859)]
MAR08489	[np.float64(0.00010544374154059859)]
MAR08493	[np.float64(0.00010544374154059859)]
MAR08494	[np.float64(0.00010544374154059859)]
MAR08495	[np.float64(0.00010544374154059859)]
